Date,Day,Time,Content Type,Topic,Caption Angle,Drive Asset Needed,Status
2026-08-08,Saturday,9:00 AM,Monthly Kickoff,August market begins,"Pull up today: vendors, food, family, community, 10AM-5PM at FDR Park Picnic Sites 13-14",AA Market IG Post.png,Pending assets
2026-08-08,Saturday,6:00 PM,Market Recap,Best moments from today,"Share what happened today and invite guests/vendors to tag the market",Same-day photos/videos,Pending market-day content
2026-08-09,Sunday,9:00 AM,Thank You,Thank vendors and guests,"Thank everyone who came out and supported local vendors",Market crowd or vendor photo,Draft caption
2026-08-09,Sunday,6:00 PM,Next Week Teaser,Back next Saturday,"Tease next Saturday and remind followers to save the date",AA Market Logo.PNG or recap photo,Draft caption
2026-08-10,Monday,9:00 AM,Weekly Preview,This week at the market,"Build anticipation for Saturday with lineup or programming notes",Weekly event details,Pending details
2026-08-10,Monday,6:00 PM,Vendor Recruitment,Apply to vend,"Invite local vendors to apply and join the Saturday market",AA Market IG Post.png or vendor application graphic,Pending asset
2026-08-11,Tuesday,9:00 AM,Vendor Spotlight,Vendor of the week,"Tell one vendor story and give people a reason to stop by",Vendor photo/product photo,Pending vendor
2026-08-11,Tuesday,6:00 PM,Engagement,Tag who you are bringing,"Ask followers who they are bringing to the market this Saturday",Market photo or simple graphic,Draft caption
2026-08-12,Wednesday,9:00 AM,Community Spotlight,Market community moment,"Show families, shoppers, vendors, or behind-the-scenes moments",Community photo,Pending asset
2026-08-12,Wednesday,6:00 PM,Reminder,Saturday market reminder,"Remind followers: every Saturday 10AM-5PM at FDR Park Picnic Sites 13-14",AA Market IG Post.png,Pending asset
2026-08-13,Thursday,9:00 AM,Weekend Preview,What to expect Saturday,"Preview vendors, shopping, food, wellness, and community",Weekend lineup details,Pending details
2026-08-13,Thursday,6:00 PM,Engagement,Why visit this weekend,"Ask followers what they are most excited to shop, eat, or see",Photo collage or prompt graphic,Draft caption
2026-08-14,Friday,9:00 AM,Countdown,Tomorrow is market day,"Create urgency and remind followers to make plans",Countdown graphic,Pending asset
2026-08-14,Friday,6:00 PM,Last Chance Reminder,Market day tomorrow,"Final evening reminder with time, location, and CTA to share",Flyer or logo/photo,Pending asset
2026-08-15,Saturday,9:00 AM,Market Day Promo,Backpack Drive + Yoga,"Promote market day, Backpack Drive with Doll House, and yoga date",Aug 15 book bag drive.PNG + Ami Blaque GIrl Yoga Flyer.png,Pending event asset
2026-08-15,Saturday,6:00 PM,Market Recap,Backpack Drive moments,"Recap the drive, vendors, guests, and community energy",Same-day photos/videos,Pending market-day content
